timestamp,heartRate,xAccel,yAccel,pressure,xMag,yMag
2024-11-27 22:30:00.499903 UTC,54,55,681,102538.6640625,-211,386
2024-11-27 22:30:05.493775 UTC,51,49,681,102539.28125,-211,384
2024-11-27 22:30:10.633119 UTC,49,49,680,102538.859375,-213,381
2024-11-27 22:30:15.492895 UTC,49,56,676,102538.703125,-211,382
2024-11-27 22:30:20.453919 UTC,50,51,679,102539.46875,-213,380
2024-11-27 22:30:25.510351 UTC,48,-413,406,102540.046875,-394,161
2024-11-27 22:30:30.471423 UTC,51,-349,293,102539.1796875,-385,160
2024-11-27 22:30:35.513631 UTC,49,-732,-547,102539.875,-480,-21
2024-11-27 22:30:40.569167 UTC,48,-721,-553,102539.890625,-472,-16
2024-11-27 22:30:45.579727 UTC,52,-697,-555,102540.03125,-474,-22
2024-11-27 22:30:50.492495 UTC,50,-717,-575,102539.6796875,-478,-22
2024-11-27 22:30:55.488687 UTC,47,-737,-532,102539.078125,-484,-16
2024-11-27 22:31:00.493071 UTC,49,-673,-527,102539.640625,-471,-19
2024-11-27 22:31:05.443295 UTC,50,-401,-795,102539.609375,-424,-47
2024-11-27 22:31:10.495519 UTC,48,-7,-340,102538.6484375,-308,45
2024-11-27 22:31:15.485455 UTC,50,-11,-355,102538.671875,-309,47
2024-11-27 22:31:20.523791 UTC,50,-5,-358,102538.046875,-301,49
2024-11-27 22:31:25.475119 UTC,49,-10,-354,102538.25,-309,39
2024-11-27 22:31:30.475839 UTC,47,-5,-350,102538.9765625,-304,47
2024-11-27 22:31:35.473135 UTC,47,-5,-361,102537.9296875,-310,46
2024-11-27 22:31:40.495839 UTC,46,-498,-614,102537.1328125,-457,-64
2024-11-27 22:31:45.448383 UTC,48,-415,-873,102537.703125,-433,-85
2024-11-27 22:31:50.439599 UTC,47,-369,-893,102537.875,-418,-90
2024-11-27 22:31:55.443663 UTC,51,-382,-1000,102537.6953125,-430,-105
2024-11-27 22:32:00.488367 UTC,49,301,-44,102536.6015625,-170,-7
2024-11-27 22:32:05.448527 UTC,48,368,49,102536.703125,-216,65
2024-11-27 22:32:10.522207 UTC,49,348,-102,102537.3203125,-209,49
2024-11-27 22:32:15.479103 UTC,49,247,250,102536.984375,-238,110
2024-11-27 22:32:20.593039 UTC,50,-369,-549,102539.375,-430,-22
2024-11-27 22:32:25.488239 UTC,52,6,675,102538.3828125,-294,284
2024-11-27 22:32:30.445183 UTC,50,14,687,102536.640625,-281,297
2024-11-27 22:32:35.480607 UTC,51,14,687,102537.296875,-285,292
2024-11-27 22:32:40.481631 UTC,49,15,689,102537.046875,-284,292
2024-11-27 22:32:45.576287 UTC,49,5,707,102537.2265625,-284,300
2024-11-27 22:32:50.474063 UTC,49,9,695,102535.9453125,-280,300
2024-11-27 22:32:55.476479 UTC,49,10,689,102536.90625,-276,304
2024-11-27 22:33:00.462479 UTC,48,19,662,102537.1640625,-275,294
2024-11-27 22:33:05.463247 UTC,45,111,-400,102537.4453125,-144,16
2024-11-27 22:33:10.497791 UTC,50,205,-11,102537.6953125,89,99
2024-11-27 22:33:15.445583 UTC,49,205,-55,102537.3828125,95,85
2024-11-27 22:33:20.447919 UTC,47,207,-59,102537.6953125,89,91
2024-11-27 22:33:25.438287 UTC,48,195,-83,102537.5234375,64,93
2024-11-27 22:33:30.435871 UTC,49,201,-95,102537.5625,64,95
2024-11-27 22:33:35.515135 UTC,51,193,-91,102537.671875,58,94
2024-11-27 22:33:40.473439 UTC,48,271,197,102537.5234375,-19,18
2024-11-27 22:33:45.504911 UTC,50,245,53,102538.3828125,-105,33
2024-11-27 22:33:50.541711 UTC,50,235,42,102538.1640625,-151,-7
2024-11-27 22:33:55.456607 UTC,50,263,91,102537.8125,-110,-43
2024-11-27 22:34:00.438703 UTC,51,259,169,102539.3125,-139,-7
2024-11-27 22:34:05.486319 UTC,49,-512,317,102540.15625,-470,97
